customer_id,first_name,last_name,email,street,city,state,country
0,Senal,Ortega,sarahbruce@example.org,2678 Mccarthy Loaf,Rodriguezfort,Tennessee,Luxembourg
1,Matthew,Mccarthy,qfriedman@example.net,3205 Kaitlyn Manors,Markberg,Illinois,Grenada
2,Gary,Mitchell,crystal92@example.com,99032 Juan Fords,Allenside,Oregon,Yemen
3,Jennifer,Bowen,gutierrezsarah@example.net,0191 Perez Summit Suite 376,Emilyburgh,Indiana,Hong Kong
4,Stephanie,Mills,rpeterson@example.net,085 Stanley Point Suite 830,Port Benjaminstad,Hawaii,Fiji
5,Dustin,Hernandez,nicolefitzgerald@example.org,96432 Clay Shore Apt. 224,Payneberg,Washington,Haiti
6,Andrea,Nguyen,zmoreno@example.net,445 Heather Terrace Suite 240,Douglaschester,Michigan,Mozambique
7,Rachel,Roberts,royjennifer@example.org,0506 Mullins Port,South Timothyport,West Virginia,Malaysia
8,Kayla,Gonzalez,alannguyen@example.com,71377 Heather Loaf,Weissfort,Vermont,Macao
9,Cynthia,Strickland,dawnsmith@example.com,0424 Burton Radial,Parkerside,Alaska,Guernsey
10,Steven,Leonard,dennis49@example.org,64385 Daniel Orchard,Costabury,Alaska,Turkey
11,Zachary,Martin,egeorge@example.org,432 Boyd Trail,North Austinborough,South Dakota,Falkland Islands (Malvinas)
12,Alyssa,White,fsnyder@example.com,36027 Cody Shoal Suite 090,Seanport,Montana,New Caledonia
13,Tyler,Johnson,ochoagina@example.net,4425 Gill Crescent,West Ashleybury,South Carolina,Thailand
14,Jenna,Nelson,tayala@example.org,816 Cole Brooks,North Brenda,Vermont,Tajikistan
15,Jennifer,Vasquez,omyers@example.com,8010 Roger Rue Suite 555,New Jacqueline,West Virginia,Thailand
16,John,Lewis,brandon34@example.net,3368 Terrell Streets Apt. 158,South Juliehaven,Nebraska,Tajikistan
17,Regina,Scott,paul38@example.org,1515 Rachael Freeway Apt. 438,Lake Darlene,Oklahoma,China
18,Linda,Harris,dodsonkayla@example.net,17678 Alexander Creek,Collinsside,Georgia,Jamaica
19,Stephen,Moran,cprice@example.com,23009 Maynard Mill,Melanieland,New Jersey,Marshall Islands
20,William,Hooper,karen38@example.com,974 Hill Estate,Higginschester,Colorado,Tajikistan
21,Todd,Whitney,davisricardo@example.net,306 Nicholas Neck Suite 313,Jefferyland,Florida,Reunion
22,John,Mclaughlin,iwarren@example.com,7723 Ross Islands,East Timothy,Wyoming,Sierra Leone
23,Patricia,Hansen,vargascindy@example.net,7661 Daniel Forest,Lake Kelly,Montana,Andorra
24,David,Marks,hoalec@example.org,3920 Romero Underpass Apt. 519,Mcbridehaven,Arizona,Zambia
25,Brent,Garza,sarahhudson@example.org,714 George Path,Fletcherville,Wyoming,Seychelles
26,Alan,Taylor,williamsscott@example.net,2026 Keith Falls Apt. 393,Robertsville,New Hampshire,Antigua and Barbuda
